20	Nakamura Shigeru	中村茂	日本	东京	+	2907
1	Meritee Ando	麦利蒂·安度	爱沙尼亚	塔林	-	2862
793	Lin Shu-Hsuan	林书玄	中国台湾	嘉义	+	2854
2	Sushkov Vladimir	苏切科夫·弗拉基米尔	俄罗斯	加特契纳	+	2849
498	Yang Yanxi	杨彦希	中国	河北	+	2848
17	Chingin Konstantin	琴晋·康斯坦丁	俄罗斯	日古廖夫斯克	-	2827
1201	Kamiya Shunsuke	神谷俊介	日本	东京	+	2826
740	Nakayama Tomoharu	中山智晴	日本	玉村	+	2768
676	Li Yi	李一	中国	北京	+	2768
1004	Wai Chan Keong	韦振强	中国澳门	　	+	2746
2164	Lin Shih-Pin	林仕斌	中国台湾	台北	+	2740
155	Demján Attila	德米亚·阿提拉	匈牙利	代莱吉哈佐	-	2732
5	Taimla Tunnet	泰姆拉·特耐特	爱沙尼亚	塔林	-	2726
2594	Tang Kai Lam	邓启霖	中国澳门	　	-	2720
1193	Qi Guan	祁观	中国	黑龙江	+	2706
1005	Jiang Qiwen	江齐文	中国	广东	+	2693
4	Soosõrv Ants	索索夫·安茨	爱沙尼亚	塔林	+	2688
487	Mei Fan	梅凡	中国	湖北	+	2669
2753	Hwang Do-hoon	黄度勋	韩国	大邱	+	2660
2655	Orlov Maxim	奥尔洛夫·马克西姆	俄罗斯	下诺夫哥罗德	+	2656
59	Kozhin Mikhail	科真·米哈伊尔	俄罗斯	杜布纳	+	2656
22	Oosumi Yuuki	大角友希	日本	守山	-	2654
408	Huang Shengming	黄圣明	中国	四川	+	2653
16	Klimashin Alexander	克里马辛·亚历山大	俄罗斯	圣彼得堡	-	2652
946	Dai Xiaohan	戴晓涵	中国	福建	-	2650
396	Lin Huang-Yu	林皇羽	中国台湾	台北	+	2647
964	Huang Liqin	黄立勤	中国	广东	+	2641
294	Epifanov Dmitry	叶皮法诺夫·德米特里	俄罗斯	莫斯科	+	2640
996	Mesila Villem	梅西拉·维莱姆	爱沙尼亚	塔林	+	2637
55	Tarannikov Yuriy	塔拉尼科夫·尤里	俄罗斯	莫斯科	-	2631
36	Cao Dong	曹冬	中国	北京	+	2631
8	Oll Aivo	欧尔·爱伏	爱沙尼亚	塔林	+	2630
3072	Ni Zhongxing	倪仲星	中国	河北	+	2627
21	Kawamura Norihiko	河村典彦	日本	东京	+	2625
953	Ai Xianping	艾显平	中国	湖北	+	2616
354	Zhang Yifeng	张轶峰	中国	上海	+	2606
44	Wu Hao	吴昊	中国	北京	-	2605
2371	Topkin Georg-Romet	托普金·格奥尔格-罗梅特	爱沙尼亚	塔林	+	2605
3046	Kang Zheming	康哲铭	中国	上海	+	2602
1204	Nagasoe Hiroki	长副纮树	日本	福冈	+	2602
263	Wu Di	吴镝	中国	辽宁	+	2601
561	Lu Hai	芦海	中国	广西	+	2599
58	Lysakov Mikhail	雷萨科夫·米哈伊尔	俄罗斯	波久加	-	2598
9	Purk Andry	帕克·安德里	爱沙尼亚	塔林	-	2597
2293	Golomaryov Anthony	戈洛马廖夫·安东尼	俄罗斯	雅库茨克	-	2596
952	Wang Qingqing	汪清清	中国	湖北	+	2596
24	Okabe Hiroshi	冈部宽	日本	东京	+	2595
12	Pajuste Renee	帕尤斯特·雷内	爱沙尼亚	哈普萨卢	-	2595
117	Chen Ko-Han	陈科翰	中国台湾	台北	+	2594
46	Ge Lingfeng	葛凌峰	中国	上海	+	2591
1167	Gong Sheng	龚胜	中国	广东	-	2591
1432	Liu Yang	刘洋	中国	山东	+	2586
25	Nara Hideki	奈良秀树	日本	横滨	-	2584
45	Zhu Jianfeng	朱建锋	中国	上海	+	2582
572	Hõbemägi Martin	赫贝梅吉·马丁	爱沙尼亚	塔林	+	2579
945	Xie Weixiang	谢维祥	中国	江苏	+	2578
1003	Xi Zhenyang	奚振扬	中国	江苏	+	2578
2223	Lan Zhiren	兰志仁	中国	四川	+	2577
76	Hasegawa Kazuto	长谷川一人	日本	大阪	+	2577
3359	László Zoltán	拉斯洛·佐尔坦	匈牙利	布达佩斯	+	2575
60	Sinyov Igor	西尼奥夫·伊戈尔	俄罗斯	莫斯科	-	2573
3241	He Shujun	何舒军	中国	湖南	+	2572
311	Eged Igor	埃格特·伊戈尔	斯洛伐克	布拉迪斯拉发	+	2571
107	Gardström Petter	加迪斯特勒姆·彼得	瑞典	厄比胡斯	+	2570
2499	Wang Yuxuan	王宇轩	中国	上海	-	2570
787	Chou Huang Yu-Chien	周黄有建	中国台湾	高雄	+	2568
228	Nykl Ondřej	尼克尔·翁德雷	捷克	哈维若夫	-	2567
26	Yamaguchi Yusui	山口釉水	日本	东京	-	2567
675	Lin Liu-Min	林刘民	中国台湾	高雄	-	2566
4055	Zhou Nan	周楠	中国	江苏	-	2560
4466	Zhou Chenli	周陈立	中国	浙江	-	2557
994	Fukui Nobuhiro	福井畅宏	日本	丰川	-	2556
738	Chien Yung-Hsuan	简咏璇	中国台湾	台北	+	2555
2335	Gao Cong	高聪	中国	北京	+	2555
1165	Chen Jing	陈靖	中国	江苏	+	2550
3175	Makino Mitsunori	牧野光则	日本	京都	+	2546
56	Makarov Pavel	马卡罗夫·帕维尔	俄罗斯	莫斯科	+	2543
2638	Burtsev Peter	布尔采夫·彼得	俄罗斯	莫斯科	+	2540
465	Sumarokov Evgeny	苏马洛科夫·叶夫根尼	俄罗斯	波久加	-	2540
958	Koyama Jun	小山纯	日本	东京	+	2539
33	Fedorkin Oleg	费多尔金·奥列格	俄罗斯	莫斯科	+	2538
3678	Cen Huoyu	岑活愉	中国	湖南	-	2537
2700	Pinsky Alexander	平斯基·亚历山大	俄罗斯	莫斯科	+	2536
3047	Zhang Xiuqi	张修齐	中国	上海	+	2535
606	Merkulov Artyom	马库洛夫·阿尔乔姆	俄罗斯	波久加	-	2534
18	Savrasova Yulia	萨夫拉索娃·尤利娅	俄罗斯	波久加	+	2532
2436	Danilin Ivan	丹尼林·伊万	俄罗斯	莫斯科	+	2526
3143	Jiao Zhengrui	焦政瑞	中国	山东	+	2526
81	Potapov Alexey	波塔波夫·阿列克谢	俄罗斯	圣彼得堡	-	2523
57	Nikonov Konstantin	尼科诺夫·康斯坦丁	俄罗斯	莫斯科	+	2522
53	Karasyov Maxim	卡拉肖夫·马克西姆	俄罗斯	下诺夫哥罗德	+	2522
120	Serdyukov Egor	谢尔久科夫·叶戈尔	俄罗斯	波久加	-	2520
54	Reims Aldis	雷姆斯·阿尔迪斯	拉脱维亚	里加	-	2520
951	He Qifa	贺启发	中国	广东	+	2518
3228	Shen Lanxin	沈兰心	中国	四川	+	2517
1251	Huang Jianguang	黄健光	中国	广西	+	2517
2896	Huang Yimiao	黄益苗	中国	浙江	+	2517
1316	Kise Katsumi	黄濑胜巳	日本	滋贺	-	2516
112	Golosov Viktor	戈洛索夫·维克多	俄罗斯	莫斯科	+	2513
3435	Burtsev Nikolai	布尔采夫·尼古拉	俄罗斯	莫斯科	+	2513
741	Tamada Yoichi	玉田阳一	日本	水户	+	2513
269	Park Jeong Ho	朴正皓	韩国	首尔	+	2513
985	Qian Kun	钱坤	中国	上海	+	2513
6	Lents Johann	伦茨·约翰	爱沙尼亚	塔林	+	2512
3185	Yang Tingyu	杨听雨	中国	北京	+	2512
604	Smirnov Evgeny	斯米尔诺夫·叶夫根尼	俄罗斯	雷宾斯克	+	2511
873	Kachaev Denis	卡恰耶夫·丹尼斯	俄罗斯	圣彼得堡	+	2511
2797	Li Xiaoqing	李小青	中国	江苏	+	2509
459	Kryuchok Roman	可留乔克·罗曼	俄罗斯	波久加	+	2506
162	Kim Chang-Hoon	김창훈	韩国	全罗北道	-	2506
939	Żukowski Michał	茹科夫斯基·米哈乌	波兰	日米格鲁德	+	2505
3897	Fu Xuanqi	符轩齐	中国	上海	+	2505
3189	Xia Sheng	夏盛	中国	上海	+	2504
23	Takashima Junya	高岛纯也	日本	大阪	-	2504
2434	Lavrik-Karmazin Maksim	拉夫里克-卡尔马钦·马克西姆	俄罗斯	莫斯科	+	2501
1401	Wang Qichao	王启超	中国	黑龙江	+	2501
96	Berezin Roman	别列津·罗曼	俄罗斯	圣彼得堡	-	2500
580	Ryabov Alexandr	里亚波夫·亚历山大	俄罗斯	雷宾斯克	-	2500
